;SG_PARTIDO;CORRELACAO
0;AGIR;1,0
1;AVANTE;0,9983407292032297
2;CIDADANIA;0,9998292299608853
3;DC;0,999999998973249
4;DEM;0,9998645273005065
5;MDB;0,9121868903810932
6;MOBILIZA;1,0
7;NOVO;0,9778810118847491
8;PATRIOTA;0,9862403127308873
9;PC do B;0,9993778849296943
10;PCB;0,8882188145957833
11;PDT;0,9995678957797894
12;PHS;-1,0000000000000002
13;PL;0,9136404459549671
14;PODE;0,9459730021964541
15;PP;0,9947873542481518
18;PROS;0,9988161799692286
20;PRTB;0,9998096790037739
21;PSB;0,6466812620251975
22;PSC;0,9838927065607764
23;PSD;0,9991550052003607
24;PSDB;0,991405648578203
25;PSL;0,8590696811588914
26;PSOL;0,8289923680403589
27;PSTU;0,3601345601447471
28;PT;0,9749426230051529
29;PTB;0,9978872473419131
30;PV;0,6682536358287852
31;REDE;0,13465892286427014
32;REPUBLICANOS;0,8882166556454032
33;SDD;0,9966323169131164
34;UNIÃO;1,0
35;UP;0,6658195550258462
