;NR_ELEICAO;SG_PARTIDO;VR_GASTO;DS_TP_FORNECEDOR
0;1;AGIR;5178,57;PESSOA JURÍDICA
1;1;AVANTE;680,1;PESSOA JURÍDICA
2;1;CIDADANIA;852989,66;PESSOA JURÍDICA
3;1;DC;171348,1;PESSOA JURÍDICA
4;1;DEM;1451819,91;PESSOA JURÍDICA
5;1;MDB;14037475,48;PESSOA JURÍDICA
6;1;MOBILIZA;10000,0;PESSOA JURÍDICA
7;1;NOVO;1238048,95;PESSOA JURÍDICA
8;1;PATRIOTA;6849,57;PESSOA JURÍDICA
9;1;PC do B;2741326,8;PESSOA JURÍDICA
10;1;PCB;50558,04;PESSOA JURÍDICA
11;1;PDT;4698145,01;PESSOA JURÍDICA
12;1;PHS;2140,6;PESSOA JURÍDICA
13;1;PL;34544,73;PESSOA JURÍDICA
14;1;PP;8783127,31;PESSOA JURÍDICA
15;1;PPL;75183,76;PESSOA JURÍDICA
16;1;PROS;212118,9;PESSOA JURÍDICA
17;1;PSB;3946800,43;PESSOA JURÍDICA
18;1;PSC;224130,0;PESSOA JURÍDICA
19;1;PSD;3277337,71;PESSOA JURÍDICA
20;1;PSDB;3893798,85;PESSOA JURÍDICA
21;1;PSL;197693,48;PESSOA JURÍDICA
22;1;PSOL;1756513,88;PESSOA JURÍDICA
23;1;PSTU;72771,7;PESSOA JURÍDICA
24;1;PT;15647906,48;PESSOA JURÍDICA
25;1;PTB;6536740,84;PESSOA JURÍDICA
26;1;PV;963219,12;PESSOA JURÍDICA
27;1;REDE;215388,79;PESSOA JURÍDICA
28;1;REPUBLICANOS;2387297,88;PESSOA JURÍDICA
29;1;SDD;436663,58999999997;PESSOA JURÍDICA
30;2;AGIR;9241,56;PESSOA JURÍDICA
31;2;AVANTE;10186,47;PESSOA JURÍDICA
32;2;CIDADANIA;1777588,2;PESSOA JURÍDICA
33;2;DC;223844,27;PESSOA JURÍDICA
34;2;DEM;2599251,23;PESSOA JURÍDICA
35;2;MDB;18620821,94;PESSOA JURÍDICA
36;2;MOBILIZA;236,01;PESSOA JURÍDICA
37;2;NOVO;1355278,83;PESSOA JURÍDICA
38;2;PATRIOTA;110074,23;PESSOA JURÍDICA
39;2;PC do B;3050987,4;PESSOA JURÍDICA
40;2;PCB;11154,2;PESSOA JURÍDICA
41;2;PDT;5654412,51;PESSOA JURÍDICA
42;2;PHS;8250,18;PESSOA JURÍDICA
43;2;PL;2235613,2;PESSOA JURÍDICA
44;2;PODE;1234039,3900000001;PESSOA JURÍDICA
45;2;PP;21348207,99;PESSOA JURÍDICA
46;2;PPL;923,81;PESSOA JURÍDICA
47;2;PROS;208242,28;PESSOA FÍSICA
48;2;PRTB;228997,0;PESSOA JURÍDICA
49;2;PSB;11376613,87;PESSOA JURÍDICA
50;2;PSC;297772,61;PESSOA JURÍDICA
51;2;PSD;5405477,73;PESSOA JURÍDICA
52;2;PSDB;8551976,5;PESSOA JURÍDICA
53;2;PSL;1985418,31;PESSOA JURÍDICA
54;2;PSOL;5021784,59;PESSOA JURÍDICA
55;2;PSTU;73821,97;PESSOA JURÍDICA
56;2;PT;17115749,38;PESSOA JURÍDICA
57;2;PTB;12452675,1;PESSOA JURÍDICA
58;2;PV;234785,69;PESSOA JURÍDICA
59;2;REDE;262854,86;PESSOA JURÍDICA
60;2;REPUBLICANOS;3279153,92;PESSOA JURÍDICA
61;2;SDD;1549278,92;PESSOA JURÍDICA
62;2;UP;29066,47;PESSOA JURÍDICA
63;3;AVANTE;297361,57;PESSOA JURÍDICA
64;3;CIDADANIA;1973814,84;PESSOA JURÍDICA
65;3;DC;366020,68;PESSOA JURÍDICA
66;3;DEM;1067273,85;PESSOA JURÍDICA
67;3;MDB;13914285,92;PESSOA JURÍDICA
68;3;NOVO;1217138,49;PESSOA JURÍDICA
69;3;PATRIOTA;74735,04;PESSOA JURÍDICA
70;3;PC do B;2370747,85;PESSOA JURÍDICA
71;3;PCB;4769,15;PESSOA JURÍDICA
72;3;PDT;12789383,67;PESSOA JURÍDICA
73;3;PL;8784128,49;PESSOA JURÍDICA
74;3;PODE;12704950,24;PESSOA JURÍDICA
75;3;PP;8910495,4;PESSOA JURÍDICA
76;3;PROS;519279,55;PESSOA JURÍDICA
77;3;PRTB;246835,45;PESSOA JURÍDICA
78;3;PSB;9685148,28;PESSOA JURÍDICA
79;3;PSC;1523091,82;PESSOA JURÍDICA
80;3;PSD;6650300,61;PESSOA JURÍDICA
81;3;PSDB;14351454,52;PESSOA JURÍDICA
82;3;PSL;1474699,22;PESSOA JURÍDICA
83;3;PSOL;7876756,77;PESSOA JURÍDICA
84;3;PSTU;103158,53;PESSOA JURÍDICA
85;3;PT;12753992,459999999;PESSOA JURÍDICA
86;3;PTB;10577312,06;PESSOA JURÍDICA
87;3;PV;1001494,48;PESSOA JURÍDICA
88;3;REDE;14014,24;PESSOA JURÍDICA
89;3;REPUBLICANOS;5936390,89;PESSOA JURÍDICA
90;3;SDD;1263925,44;PESSOA JURÍDICA
91;3;UNIÃO;6870699,71;PESSOA JURÍDICA
92;3;UP;154410,58;PESSOA JURÍDICA
93;4;AVANTE;60280,73;PESSOA JURÍDICA
94;4;CIDADANIA;312526,71;PESSOA JURÍDICA
95;4;MDB;4852743,74;PESSOA JURÍDICA
96;4;NOVO;1011701,21;PESSOA JURÍDICA
97;4;PATRIOTA;6989,23;PESSOA JURÍDICA
98;4;PC do B;309083,91;PESSOA JURÍDICA
99;4;PDT;1844274,99;PESSOA JURÍDICA
100;4;PL;1855491,19;PESSOA JURÍDICA
101;4;PODE;1365190,79;PESSOA JURÍDICA
102;4;PP;5104683,86;PESSOA JURÍDICA
103;4;PRD;371158,05;PESSOA JURÍDICA
104;4;PRTB;8580,3;PESSOA JURÍDICA
105;4;PSB;1375542,46;PESSOA JURÍDICA
106;4;PSC;2057,52;PESSOA JURÍDICA
107;4;PSD;2235282,6;PESSOA JURÍDICA
108;4;PSDB;1939539,45;PESSOA JURÍDICA
109;4;PSOL;1470386,76;PESSOA JURÍDICA
110;4;PSTU;50279,44;PESSOA JURÍDICA
111;4;PT;4296863,65;PESSOA JURÍDICA
112;4;PTB;253377,42;PESSOA JURÍDICA
113;4;PV;7514,0;PESSOA JURÍDICA
114;4;REDE;62794,0;PESSOA JURÍDICA
115;4;REPUBLICANOS;1315746,35;PESSOA JURÍDICA
116;4;SDD;189503,95;PESSOA JURÍDICA
117;4;UNIÃO;710795,1900000001;PESSOA JURÍDICA
118;4;UP;67293,62;PESSOA JURÍDICA
